nigeria_cases,liberia_cases,guinea_cases,date,sierra_leone_cases,liberia_deaths,guinea_deaths,nigeria_deaths,sierra_leone_deaths
0,0,49,03/22/2014,0,0,29,0,0
0,0,86,03/24/2014,0,0,59,0,0
0,0,86,03/25/2014,0,0,60,0,0
0,0,103,03/27/2014,0,0,66,0,0
0,0,112,03/28/2014,0,0,70,0,0
0,0,122,03/31/2014,0,0,80,0,0
0,0,127,04/01/2014,0,0,83,0,0
0,0,143,04/04/2014,0,0,86,0,0
0,0,151,04/07/2014,0,0,95,0,0
0,0,158,04/09/2014,0,0,101,0,0
0,0,168,04/14/2014,0,0,108,0,0
0,0,197,04/16/2014,0,0,122,0,0
0,0,203,04/17/2014,0,0,129,0,0
0,0,208,04/20/2014,0,0,136,0,0
0,0,218,04/23/2014,0,0,141,0,0
0,0,224,04/26/2014,0,0,143,0,0
0,13,226,05/01/2014,0,11,149,0,0
0,13,231,05/03/2014,0,11,155,0,0
0,13,235,05/05/2014,0,11,157,0,0
0,13,236,05/07/2014,0,11,158,0,0
0,12,233,05/10/2014,0,11,157,0,0
0,12,248,05/12/2014,0,11,171,0,0
0,12,258,05/23/2014,0,11,174,0,0
0,12,281,05/27/2014,16,11,186,0,5
0,12,291,05/30/2014,50,11,193,0,6
0,12,328,06/04/2014,79,11,208,0,6
0,12,344,06/06/2014,81,11,215,0,6
0,12,351,06/10/2014,89,11,226,0,7
0,33,398,06/18/2014,97,24,264,0,49
0,41,390,06/22/2014,136,25,267,0,58
0,51,390,06/24/2014,158,34,270,0,34
0,107,413,06/30/2014,239,65,303,0,99
0,115,412,07/02/2014,252,75,305,0,101
0,131,408,07/06/2014,305,84,307,0,127
0,142,409,07/08/2014,337,88,309,0,142
0,172,406,07/12/2014,386,105,304,0,194
0,174,411,07/14/2014,397,106,310,0,197
0,196,410,07/17/2014,442,116,310,0,206
0,224,415,07/20/2014,454,127,314,0,219
0,249,427,07/23/2014,525,129,319,0,224
1,329,460,07/27/2014,533,156,339,1,233
4,468,485,08/01/2014,646,255,358,1,273
9,516,494,08/04/2014,691,282,363,1,286
13,554,495,08/06/2014,717,294,367,2,298
13,599,506,08/09/2014,730,323,373,2,315
12,670,510,08/11/2014,783,355,377,3,334
12,786,519,08/13/2014,810,413,380,4,348
15,834,543,08/16/2014,848,466,394,4,365
15,972,579,08/18/2014,907,576,396,4,374
16,1082,607,08/20/2014,910,624,406,5,392
17,1378,648,08/26/2014,1026,694,430,6,422
21,1698,771,08/31/2014,1216,871,494,7,476
22,1871,812,09/05/2014,1261,1089,517,8,491
21 ,2081,861,09/07/2014,1424,1137,557,8,524
21,2407,936,09/13/2014,1620,1296,595,8,562
21,2710,942,09/14/2014,1673,1459,601,8,562
20,3022,1008,09/22/2014,1813,1578,632,8,593
20,3280,1022,09/24/2014,1940,1677,635,8,597
20,3458,1074 ,09/26/2014,2021,1830,648,8,605
11,3696,1157,10/01/2014,2304,1998,710,5,622
20,3834,1199,10/03/2014,2437,2069,739,8,623
20,3924,1298,10/08/2014,2789,2210,768,8,879
20,4249,1472,10/15/2014,3252,2458,843,8,1183
20,4665,1540,10/22/2014,3706,2705,904,8,1259
20,4665,1553,10/25/2014,3896,2705,926,8,1281
20,6535,1906,10/29/2014,5235,2413,997,8,1500
,6525,1731,11/05/2014,4759,2697,1041,,1070
,6822,1878,11/12/2014,5368,2836,1142,,1169
,6878,1919,11/14/2014,5586,2812,1166,,1187
,7069,1971,11/19/2014,6073,2964,1192,,1250
,7168,2134,11/26/2014,6599,3016,1260,,1398
,7635,2155,12/1/2014,7109,3145,1312,,1530
,7635,2164,12/3/2014,7312,3145,1327,,1583
,7690,2192,12/5/2014,7635,3161,1366,,1660
,7719,2283,12/8/2014,7798,3177,1412,,1742
,7719,2292,12/10/2014,7897,3177,1428,,1768
,7797,2319,12/15/2014,8273,3290,1518,,2033
,7797,2416,12/17/2014,8356,3290,1525,,2085
,7819,2453,12/19/2014,8759,3346,1550,,2477
,7830,2571,12/22/2014,8939,3376,1586,,2556
,7830,2597,12/23/2014,9004,3376,1607,,2582
,7862,2597,12/24/2014,9004,3384,1607,,2582
,7862,2630,12/26/2014,9203,3384,1654,,2655
,7977,2695,12/29/2014,9409,3413,1697,,2732
,7977,2706,12/30/2014,9466,3413,1708,,2758
,8018,2730,1/2/2015,9633,3423,1739,,2827
,8115,2769,1/5/2015,9772,3471,1767,,2915
,8157,2775,1/6/2015,9780,3496,1781,,2943
,8166,2776,1/8/2015,10030,3496,1786,,2977
,8263,2793,1/9/2015,10030,3515,1797,,2977
,8278,2799,1/12/2015,10094,3515,1807,,3049
,8362,2825,1/16/2015,10186,3556,1829,,3083
,8435,2873,1/19/2015,10306,3587,1875,,3132
,8478,2871,1/20/2015,10340,3605,1876,,3145
,8524,2873,1/22/2015,10362,3636,1879,,3153
,8524,2909,1/26/2015,10491,3636,1906,,3195
,8622,2917,1/28/2015,10518,3686,1910,,3199
,8643,2920,1/30/2015,10561,3700,1913,,3216
,8729,2975,2/3/2015,10740,3739,1944,,3276
,8745,2988,2/6/2015,10792,3746,1957,,3301
,8881,3044,2/10/2015,10934,3826,1995,,3341
,8931,3081,2/13/2015,10987,3858,2032,,3363
,9007,3108,2/17/2015,11103,3900,2057,,3408
